region,Gold,Bronze,Silver,Total
"Virgin Islands, US",0,0,1,1
Paraguay,0,0,1,1
Papua New Guinea,0,0,0,0
Sierra Leone,0,0,0,0
Sudan,0,0,1,1
Swaziland,0,0,0,0
Turkmenistan,0,0,0,0
"Virgin Islands, British",0,0,0,0
Palau,0,0,0,0
Vanuatu,0,0,0,0
Oman,0,0,0,0
Yemen,0,0,0,0
Zambia,0,1,1,2
Philippines,0,7,3,10
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Sri Lanka,0,0,2,2
Senegal,0,0,1,1
Saudi Arabia,0,2,1,3
Sao Tome and Principe,0,0,0,0
San Marino,0,0,0,0
Samoa,0,0,0,0
Saint Vincent,0,0,0,0
Saint Lucia,0,0,0,0
Saint Kitts,0,0,0,0
Tonga,0,0,1,1
South Sudan,0,0,0,0
Rwanda,0,0,0,0
Togo,0,1,0,1
Seychelles,0,0,0,0
Republic of Congo,0,0,0,0
Qatar,0,4,1,5
Timor-Leste,0,0,0,0
Afghanistan,0,2,0,2
Niger,0,1,1,2
Nicaragua,0,0,0,0
Cayman Islands,0,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Comoros,0,0,0,0
Cook Islands,0,0,0,0
Curacao,0,0,1,1
Cyprus,0,0,1,1
Democratic Republic of the Congo,0,0,0,0
Djibouti,0,1,0,1
Dominica,0,0,0,0
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,1,0,1
Gabon,0,0,1,1
Gambia,0,0,0,0
Cape Verde,0,0,0,0
Cambodia,0,0,0,0
Burkina Faso,0,0,0,0
Barbados,0,1,0,1
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua,0,0,0,0
Aruba,0,0,0,0
Bangladesh,0,0,0,0
Belize,0,0,0,0
Brunei,0,0,0,0
Benin,0,0,0,0
Bermuda,0,1,0,1
Bhutan,0,0,0,0
Boliva,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,1,1
Ghana,0,3,1,4
Guam,0,0,0,0
Guatemala,0,0,1,1
Micronesia,0,0,0,0
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,1,0,1
Moldova,0,5,2,7
Malawi,0,0,0,0
Monaco,0,1,0,1
Montenegro,0,0,1,1
Myanmar,0,0,0,0
Namibia,0,0,4,4
Nauru,0,0,0,0
Nepal,0,0,0,0
Malaysia,0,4,7,11
Madagascar,0,0,0,0
Guinea,0,0,0,0
Kuwait,0,2,0,2
Guinea-Bissau,0,0,0,0
Guyana,0,1,0,1
Honduras,0,0,0,0
Iceland,0,2,2,4
Iraq,0,1,0,1
Kiribati,0,0,0,0
Kyrgyzstan,0,2,1,3
Macedonia,0,1,0,1
Laos,0,0,0,0
Lebanon,0,2,2,4
Lesotho,0,0,0,0
Albania,0,0,0,0
Libya,0,0,0,0
Liechtenstein,0,0,0,0
Liberia,0,0,0,0
